"","M0000000093","M0000000275","M0100001073","M0100001208","M0100001287","M0100001416","M0100001426","M0100001730","M0100002910","M0100003695","M0100004089","M0100006379","M0100020214","M0100020371","M0100020487","M0100021093","M0100022041","M0999912117","M0999925422","X11117_2","X12020_39","X13463_1","X13998_26","X17761_2","X2944_66","X4464_10","X5508_62","X7861_9","X8368_102","X9021_1","X9829_91","ENSG00000055609.20","ENSG00000066739.12","ENSG00000068650.18","ENSG00000070961.16","ENSG00000071054.16","ENSG00000072364.13","ENSG00000075539.15","ENSG00000080503.24","ENSG00000082701.17","ENSG00000084623.12","ENSG00000084676.15","ENSG00000085224.23","ENSG00000099795.7","ENSG00000100216.6","ENSG00000100220.12","ENSG00000100354.21","ENSG00000100836.10","ENSG00000108510.10","ENSG00000114127.11","ENSG00000115020.17","ENSG00000115464.15","ENSG00000116586.12","ENSG00000117362.13","ENSG00000117625.14","ENSG00000121741.17","ENSG00000123104.12","ENSG00000124222.22","ENSG00000131503.21","ENSG00000132466.19","ENSG00000133858.17","ENSG00000134153.10","ENSG00000135390.21","ENSG00000136044.12","ENSG00000137817.17","ENSG00000138688.16","ENSG00000143164.15","ENSG00000143575.15","ENSG00000147162.14","ENSG00000155115.7","ENSG00000155849.16","ENSG00000157106.17","ENSG00000157764.14","ENSG00000159596.7","ENSG00000160584.16","ENSG00000162869.16","ENSG00000164081.13","ENSG00000165671.21","ENSG00000166747.13","ENSG00000169246.16","ENSG00000171634.18","ENSG00000173575.22","ENSG00000180879.14","ENSG00000184840.12","ENSG00000185864.16","ENSG00000187742.15","ENSG00000207233.1","ENSG00000215421.9","ENSG00000230590.11","ENSG00000237550.5","ENSG00000239183.1","ENSG00000239665.8","ENSG00000242588.6","ENSG00000252464.1","ENSG00000253729.8","ENSG00000264343.6","ENSG00000271204.1","ENSG00000271533.1"
"M0000000093",0,0.0155016486778794,0.0027416494426255,0.00818412873677773,0.0060817090271374,0.0199214975807776,0.0218198539133711,0.0123041525257927,0.00891695056426605,0.00943902979933521,0.00105889414236527,0.0194011982530039,0.00201194899587737,0.00222558684576377,0.00997190419008611,0.00334434710815213,0.0206272673759038,0.00896401086427534,0.0102272602855594,0.00249536087237509,0.0106105285560261,0.0293517032210043,0.0010920861614251,0.00630064902520723,0.0299390315219351,0.000879852202634556,0.000828617050368401,0.0180236681302279,0.0221341750023271,0.0047679192260766,0.000837941243571905,0.00189465004458797,0.00579998403590707,0.00139892465598626,0.000131831081812519,0.00350993423497768,0.00505501448104668,0.00388697280354003,0.00155451525892139,0.00161747938181085,0.00514225023037996,0.00123328887706973,0.00212369332094634,0.00124511434466067,0.00141593335033964,0.000314591050957323,0.00339406038436002,0.000913097924766625,0.00399550679383681,0.00672473966954298,0.00442180197914563,0.00680201171069964,0.000817154583608619,0.00136328751549317,0.000603249419775898,0.00102177621633335,0.00383141741449029,0.00737291429453772,0.00345853982738015,0.00329554208608529,0.0105072696450288,0.00951630829647325,0.00220391187400576,0.00146594116264618,0.00081840371053378,0.00269181929291064,0.00191176396011063,0.00454184674492374,0.00324061034932805,0.000992107714109598,0.00181620601719927,0.0042045984120993,0.00421966737551842,0.000977622488675621,0.000728269285586466,0.00148109440698377,0.00414009039164122,0.00615564667552167,0.00366995614059788,0.0020412297753169,0.0053947627710133,0.00694027772880123,0.00775622055025672,0.00348312833160023,0.00243220935803736,0.00319643878157702,0.000769524113771688,0.00280591424025581,0.00811812654014708,0.000752026980926674,0.00489684945799417,0.00170083733788283,0.00734087411014613,0.0041678852396471,0.00183356969633492,0.00740909881986763,0.00312977554248389,0.00469539653402903
"M0000000275",0.0155016486778794,0,0.00567581110532986,0.0186289765373998,0.0128107305773826,0.0447329945034697,0.0475248353864988,0.0259931252464882,0.0208856289179233,0.0202867818234973,0.00240717094994849,0.0432191168001691,0.0044576376297261,0.00482680854716978,0.022006256030031,0.00721916410609807,0.0484351312167092,0.0199838852525527,0.0219376235275306,0.00516320102856984,0.0236093732944284,0.0636996856320008,0.00210382944214261,0.0130399582150009,0.0660442872309842,0.00173989368052981,0.00165325553383082,0.0390702884126898,0.0483102471558916,0.0100949044120834,0.00153344147844441,0.00412383465883032,0.01334248597766,0.00308176301218938,0.00027976178196597,0.00730976310915053,0.0115113352729,0.00844867691468732,0.00395691694770768,0.00372815819943907,0.0109286215665637,0.00276152242400627,0.00519878616440294,0.00255185240157542,0.00312936030810503,0.000702817853149001,0.0071796064381501,0.00189033749368868,0.00857002435849721,0.0145651986662755,0.00970486569801019,0.0152568879870102,0.00202285496924209,0.00281790842337465,0.00133015505526435,0.00224247939209903,0.00849992963311663,0.0148836750079422,0.00721282018084587,0.00695483536208378,0.0224287803345534,0.0211874846545166,0.00460392940029792,0.00317315829300345,0.00212355532621339,0.00599492861873284,0.0040330125358483,0.00982287478849088,0.00773924293377424,0.00205945881750481,0.0046434378596661,0.0087930193624378,0.0100952670541539,0.0019801712308964,0.00148093284622771,0.00307131956671487,0.00857386530378782,0.0135860749236514,0.00796856009210183,0.00519293393685729,0.0120763715434175,0.0151042560403431,0.0169962104953792,0.00740223132460754,0.00500681534053075,0.00715660887257988,0.00154338556011116,0.00634433082849794,0.0174529814514618,0.00184194055631136,0.0100358803181528,0.00381108822101118,0.0155645335386446,0.00965060305023968,0.00445993792167334,0.0159323807420156,0.00653421357657052,0.0098494935047859
"M0100001073",0.0027416494426255,0.00567581110532986,0,0.00330349985543784,0.0025237369563946,0.00803802842321253,0.00884771674583441,0.00466925925682321,0.00348416168814268,0.00350290619327192,0.000528168020995952,0.00776546994863356,0.000897991208235573,0.000967567367023967,0.00407594763917518,0.00140121935774987,0.00832155744069151,0.00356192006644731,0.00400134092103469,0.000990814096829512,0.00417171954576069,0.0123387377940157,0.000406457159801143,0.00239427513789828,0.0121939424153371,0.000332622270493138,0.000329189086802741,0.00759482076717619,0.00871873517824552,0.00186453485153465,0.000339677876765448,0.000791443699568532,0.00214175348572937,0.000611374350954864,5.56171181511966e-05,0.00138480950043621,0.00203829130941967,0.00159355963527048,0.000627930140388544,0.00060675254652218,0.00233975471374211,0.000562535262411715,0.000830185052086489,0.000487449913803457,0.000640992415684475,0.000132971162993138,0.00139378753445573,0.000322384002916337,0.0015557385396775,0.00272675006107862,0.00179042070453985,0.00264830781843797,0.000402001304114619,0.000575349199148612,0.000257053799454146,0.000431283856098513,0.00150535929392556,0.00237143965541442,0.00143443188464978,0.00127573701667512,0.00422621131803971,0.0040218720263658,0.00107257075440371,0.000675068300189371,0.00034790067804348,0.00103670749546458,0.000839978620117391,0.00194235463130941,0.001338288379877,0.000417549763172579,0.000747382172141051,0.0018125012261649,0.00138992038162114,0.00045376143160166,0.000334359945838385,0.000565687011632441,0.00160148362101894,0.00253031356889845,0.00126579542980007,0.000901648559647678,0.00216119179809885,0.00266704605746671,0.00325455293016014,0.00137958587238752,0.00105164179324942,0.0011100605134344,0.000354410403946353,0.00119822607515335,0.00314288657471979,0.000252572645379222,0.00173559714238543,0.000710577566637498,0.00261264532240049,0.00177477993458849,0.000712478193061931,0.00310308056076335,0.00135259317477671,0.00165009341691958
"M0100001208",0.00818412873677773,0.0186289765373998,0.00330349985543784,0,0.00746242762180923,0.0289461279439981,0.0290116824063488,0.0163924802049178,0.0141048504886112,0.0125990233979845,0.00156492000699005,0.0277177835399858,0.00295322170637223,0.00294575941359108,0.0139973240372829,0.00467358159957137,0.0327780086543237,0.0124921337633768,0.0138331108982634,0.00314680920603736,0.0146733339880516,0.0377882469816024,0.00124578233198017,0.00788625587376451,0.0410506836428152,0.00106237149735704,0.00107857191807567,0.0232054689672423,0.0299472203584835,0.00612922102582999,0.000725813725525255,0.00252672375126568,0.00809469333021024,0.00199135714585379,0.000154348899185394,0.00434712213983125,0.00755959307327512,0.00513473746627594,0.00285508428725333,0.00246046885815754,0.0057220991445559,0.00167721657298495,0.00359257935513502,0.00134916061959471,0.00214076799249954,0.000431544225641561,0.0042340388667594,0.000954011924790766,0.00504171533778715,0.00905308399513591,0.00587130301579215,0.00989033876470112,0.00167434164704358,0.00153526366491688,0.000725151743369547,0.00132170358515358,0.00552261654056704,0.00778906048233492,0.00417742177328713,0.00400617192118896,0.0131652666625623,0.0134522118334145,0.00280582838549816,0.00184566272031669,0.00179251619396606,0.00381776667463236,0.00237130800443528,0.0060694473625438,0.00497985823563576,0.00112494170905734,0.00354370728433083,0.00520597473958623,0.00591579795355206,0.00121891306484907,0.000869136866947915,0.00187270113902226,0.00515454335073051,0.00933402844624064,0.00435474031833337,0.0039292656212648,0.00768154742143314,0.00916101434417204,0.0106586012917786,0.00453652474511161,0.00305697889960344,0.00377551293439891,0.000900306243889662,0.00403698162158783,0.0114199980993246,0.00134768178237854,0.0051874585333064,0.00230934392109031,0.00823197739273307,0.00621483118529754,0.00294779768121388,0.00976778916390474,0.00384098933694468,0.00699859360000458
"M0100001287",0.0060817090271374,0.0128107305773826,0.0025237369563946,0.00746242762180923,0,0.018133563076045,0.0199889709788387,0.0111745107746276,0.00817827896788543,0.00859070618609418,0.00106385585838261,0.0178917509348884,0.00186413096884653,0.0020999831072004,0.00914908503386901,0.00305514438397158,0.0191730751824089,0.00835216013286908,0.00932741968683798,0.00225968785153847,0.0098348754393776,0.0275358103752349,0.000918474321106367,0.00559094494707339,0.027781082931562,0.000783458652026043,0.000712019751444182,0.0169523866025902,0.0199507672216343,0.00430348764066394,0.000670402470788248,0.00179559284081415,0.00484920229289398,0.00136870923175843,0.000110551234592412,0.00320464152895042,0.00456802570680262,0.00352958524309878,0.00135893501226946,0.00157623802496031,0.00448192575988032,0.00122842803012182,0.0019628701366518,0.00101341844272608,0.00144118930051276,0.000261591057050292,0.00310931762024708,0.000733947087108044,0.00369275231295608,0.00636658676483583,0.00412858824278623,0.00629470588618589,0.000799141489768012,0.0012155676571148,0.000522699873985389,0.000937928778738197,0.00374604398382495,0.00584351836664091,0.00324133510717628,0.00308301236968199,0.00961594568409926,0.00894518344366763,0.00220982200005318,0.001361630047544,0.000665803982688198,0.00260129166835933,0.00182505444544098,0.00435036504040219,0.00316114670560964,0.000870698152589961,0.00165652710706179,0.00408436128243799,0.0035602579539987,0.000936444817913378,0.000667398951250119,0.00138108279625222,0.00381690411627263,0.00580484360936495,0.00303401599875346,0.00212184527796974,0.00487276164543563,0.00653091426050763,0.00732811477447497,0.0031686905708447,0.00226979704683101,0.00267903478688153,0.000720959613372514,0.00268427588815707,0.00732992582129177,0.000563855944428154,0.0039582189262938,0.00169937136788077,0.0060478149654958,0.00403030314601784,0.00151114295470021,0.00700989529943066,0.00302032310398251,0.004437292211297
"M0100001416",0.0199214975807776,0.0447329945034697,0.00803802842321253,0.0289461279439981,0.018133563076045,0,0.0729782632774504,0.0417123105849258,0.034251019709903,0.0325990472544568,0.00369219729960112,0.0696942123425885,0.00726030998072049,0.00689041831225289,0.0353522932273328,0.0115419824377111,0.0783285863808303,0.0317635792721685,0.0354877847641509,0.00753990889732703,0.0340117267415545,0.0979653596244808,0.00310396629049548,0.0192446836426723,0.0982030999247328,0.00266225797538968,0.00294478552747867,0.0600803314864637,0.0759376045718327,0.015049433516094,0.0020423299919662,0.00593363703466302,0.0188811761288212,0.00443347222046449,0.00034787601637027,0.0106793043469636,0.0181419766315443,0.0123506812872934,0.00682998054165452,0.00583775586469829,0.0137220990715747,0.00400525670344556,0.00861920141337677,0.00327705375489796,0.00483144847680336,0.00125599551020201,0.0101704894477436,0.00246168459599668,0.0124863667937944,0.0211830406733862,0.0138086810542991,0.0244453812253999,0.00390592226770606,0.00390750991120345,0.00178298965128765,0.00309093975927291,0.0128038154021786,0.0194778308324137,0.0105985037049562,0.010409710534121,0.0318132682973304,0.0340583258735328,0.00713033446444911,0.00435513060573766,0.00463785233261719,0.00896855962729944,0.00589742566020935,0.0141798676543603,0.0122659066854575,0.00279912351409508,0.00862307380285156,0.0132091405865861,0.0132729211855876,0.00306679193949279,0.00209898392405797,0.0046857654837072,0.0128693405066753,0.0226596830904256,0.0101235967088937,0.00954058822162075,0.0186096154622794,0.0223682618431075,0.0251278857128487,0.0112168885162278,0.0075535683919467,0.00974834885678121,0.00229329588000625,0.0101149595499677,0.0283174402223699,0.00330077463345919,0.0130219256777217,0.005726972517088,0.0200072005347147,0.0141692253312338,0.00687330572671784,0.0229518456869495,0.00973905641060817,0.0178858384615607
"M0100001426",0.0218198539133711,0.0475248353864988,0.00884771674583441,0.0290116824063488,0.0199889709788387,0.0729782632774504,0,0.0466421041771475,0.0308380083828646,0.0368943198662435,0.0037957843801645,0.0753765918399096,0.00687126729310152,0.00756292299512798,0.0374905437600747,0.0120350251839561,0.0714177205774987,0.0345508683664759,0.0399968672165015,0.00820113060309245,0.0363937591007079,0.111165344051019,0.00332789298991667,0.0204788201685037,0.110360890395537,0.00285971928580257,0.00337514338192232,0.0680761449233964,0.0877232874850214,0.0166753851327432,0.00223542332784539,0.00654794039524954,0.0177783488397473,0.00489502698466595,0.000386308661281169,0.0117269022002216,0.016758746208718,0.0127832847072069,0.00507975720912001,0.00653045557556138,0.0153633226712349,0.00446674572280674,0.00746715747217227,0.00359762803759358,0.00536787840283561,0.00153729176906607,0.0112210978685002,0.00271479492974703,0.0137663288626414,0.0231654658149635,0.0151957059863475,0.0235016513119947,0.00286875861198687,0.00433739274840363,0.00203971987117751,0.00342976055823064,0.0140310111511506,0.0211896566610859,0.0117347860127961,0.0115219441739294,0.0350381811701081,0.0327853906764548,0.0079002827132047,0.00484233318762693,0.00247696266465591,0.00980190328848078,0.00657716064944325,0.0156707950616146,0.0119256969322397,0.00309860890533452,0.00627662720240217,0.0146262343153552,0.013551594165389,0.00340644085596157,0.00232497251112435,0.00511960937087043,0.0140972466134625,0.0209040829143235,0.011069352405473,0.00802516804179191,0.0178257873416768,0.0245203428333904,0.026607366974963,0.0115900734289586,0.00826551407297613,0.010001809173109,0.00255138529303532,0.00975232636432234,0.0268800306737251,0.00212445728619696,0.0142866277925868,0.00637622675740681,0.021941601348305,0.0149124255226909,0.00563452677526981,0.0254348932500777,0.0107855807347624,0.0165954321070461
"M0100001730",0.0123041525257927,0.0259931252464882,0.00466925925682321,0.0163924802049178,0.0111745107746276,0.0417123105849258,0.0466421041771475,0,0.0166651279478914,0.0225279819326857,0.00171566424782548,0.0476119523744509,0.00344991771838629,0.00395268442814239,0.0207896222546906,0.00675979945919318,0.0390062275594067,0.0183408780887521,0.0247910845729631,0.00514545557555874,0.0208338248475294,0.0612568188545462,0.00224736576150606,0.0134501580715008,0.0619052603618211,0.00199414153367015,0.0023705117768656,0.0376233421027833,0.0511352026537969,0.0101274349339242,0.00138768858049648,0.00344491422648455,0.00942588998648159,0.0023074801635187,0.0001288941999897,0.00736863771586566,0.00950968488327206,0.00717850151043986,0.00278828542214011,0.00375313156596163,0.00638077268491825,0.00223508320612561,0.00386434566512493,0.0022023580875062,0.00273702978431814,0.000869874024816068,0.00596368667336832,0.00157861530137264,0.00772248764719256,0.0130455068113521,0.00833599612462605,0.0122227496745813,0.00136392635666458,0.00237522056981616,0.000924792607476988,0.00174791712557343,0.00846270910574717,0.0154712407531833,0.00701682929403776,0.00679022257488358,0.0199301558558757,0.0173844884918229,0.00367745120757866,0.00223477868135136,0.00139908610286366,0.00524893560621275,0.0037711297937853,0.00831486022142202,0.00577865070480706,0.00170324452688854,0.00335553986511893,0.0088800096584048,0.00575816399228703,0.00221230121128404,0.00125963302197529,0.0030770629328344,0.010122274411693,0.0129758121345818,0.00669931744744778,0.00440174906382697,0.0101642286637022,0.0152085885022978,0.0140290110028284,0.00708118327640814,0.00490981942134371,0.00575596838037014,0.0012622371305302,0.00607099141166015,0.0167900007175205,0.00140459207539157,0.00871097756299994,0.00283601251316988,0.0138205759007666,0.00748046009027335,0.00254293405667421,0.0136207077814565,0.00652973842340364,0.0122900350447592
"M0100002910",0.00891695056426605,0.0208856289179233,0.00348416168814268,0.0141048504886112,0.00817827896788543,0.034251019709903,0.0308380083828646,0.0166651279478914,0,0.0148385521776852,0.00169803564785461,0.0297406063090489,0.00387284875075231,0.00307872028965177,0.0169922173863323,0.00589851647144073,0.0433925873848029,0.0158631540987043,0.0145782386294414,0.00345773843260477,0.0164989046521205,0.0409434956123608,0.00150722799518136,0.00896936388004529,0.0428441484192008,0.00132398628015457,0.00101527612885109,0.0251442820905869,0.0314771694559451,0.00671499267456739,0.000783631946772274,0.00263004766344798,0.0100835670160249,0.00186035389834412,0.000142639769588527,0.00482768154852317,0.00980743607749562,0.00590661890757972,0.00428725702005642,0.00290243845018054,0.00583553314120425,0.00178809394820687,0.00517378703264967,0.00135519387977321,0.0019498052651702,0.000321114492603112,0.00459492871569504,0.00123606035514228,0.00638467216677622,0.00952311359436671,0.00638464115138168,0.013722775763,0.00230187405144365,0.00174124375089582,0.000621679875190359,0.00146196649797531,0.0067227356216096,0.00798006013840017,0.00464454904774684,0.00524586106324114,0.0147424871872351,0.0180897792607084,0.00366568389495069,0.00197657375759975,0.00318930704732619,0.00468223094208145,0.00261876885630914,0.00647985498705755,0.0068951465516217,0.00123776995368281,0.00528274287917133,0.00568109767721749,0.00747944803800322,0.00120255432764803,0.000828547096813696,0.00236801194928595,0.0055824105107507,0.0116720635671897,0.00427548633924403,0.00608706181103985,0.00985686440863614,0.0115214708389896,0.0118398178260786,0.00536475879577526,0.0038267635750833,0.00523801202310026,0.00116231714442721,0.00513914437031686,0.0145386448997517,0.00209824696624385,0.0057248488571249,0.00295329427043771,0.00894398291532677,0.00712542696872037,0.00429763306399794,0.010380066219846,0.00415339939421532,0.00985206457565714
"M0100003695",0.00943902979933521,0.0202867818234973,0.00350290619327192,0.0125990233979845,0.00859070618609418,0.0325990472544568,0.0368943198662435,0.0225279819326857,0.0148385521776852,0,0.00117329451257185,0.0327121450630395,0.00260367809020604,0.00289769901911932,0.0163747436930611,0.00500381610869701,0.0302144382903665,0.0166262427978452,0.0194974459316488,0.00372826186553309,0.0158872071036831,0.0489987114337077,0.00184398715430054,0.0102859299088007,0.0481534103159604,0.00149349504725552,0.00167146971095085,0.0299216513313813,0.0396212387079236,0.00783928836713298,0.00103714363495158,0.00262396596640348,0.00732685863799724,0.00169868928594683,0.000162809488085027,0.00581688045374094,0.00730168420625776,0.00554335986925788,0.00212077626119344,0.00357040676869581,0.00519021484080002,0.00173838560125543,0.00356340014335011,0.00163026020950874,0.00191712383207792,0.000702437468460598,0.0047236645763309,0.00151681955134676,0.00696093328101616,0.00960385831907654,0.00648586248475144,0.0112630756516847,0.00115604823248885,0.0020208608896114,0.000680310042546233,0.00150064840967959,0.00639425450322091,0.00984604417338436,0.00566719604838147,0.00641444947198229,0.0154775988943864,0.0141404136637813,0.00372328307472207,0.00184565164275486,0.00100148340696413,0.0046940110102631,0.00303510747994172,0.00646180163974439,0.00562908913287431,0.00137817243044151,0.00263308388205131,0.00580637101906988,0.0058629395883193,0.00136921832661859,0.000930438697989161,0.00284496282910573,0.00679357349825815,0.00806974764222587,0.00386660814621743,0.00344995379847327,0.00786702005848024,0.0116970552771967,0.0109814261620701,0.00579193483875953,0.0037581774142489,0.00456654829866237,0.00134105265607269,0.00409604864700286,0.0130047186227961,0.00117166271082996,0.00698756305081972,0.00296876918228478,0.00904020067018441,0.00604142665953882,0.00258379108159695,0.0105657686942047,0.00422531697845675,0.00920967591131904
