"","M0000000267","M0000000512","M0000000803","M0000000811","M0100000269","M0100000616","M0100001620","M0100003001","M0100015790","X10603_1","X12563_2","X16818_200","X18174_79","X5489_18","X8255_34","X9869_28","ENSG00000009335.18","ENSG00000030066.13","ENSG00000099910.17","ENSG00000114861.23","ENSG00000116539.14","ENSG00000119596.18","ENSG00000121892.15","ENSG00000123124.14","ENSG00000130066.16","ENSG00000134644.16","ENSG00000135905.20","ENSG00000137752.24","ENSG00000143543.15","ENSG00000145439.12","ENSG00000169045.17","ENSG00000169228.14","ENSG00000176871.9","ENSG00000213719.8","ENSG00000232931.6"
"M0000000267",0,0.845031224363837,0.217735361910283,0.21803489753314,0.54056960244848,0.197204931534564,0.763987127299812,0.588230131683266,0.26351218063841,0.343820041231127,0.956303899945767,0.328015001294591,0.773023696272226,0.763975002186259,0.563029471106072,0.817092286309554,0.277282373631954,0.21887258217838,0.253211463180709,0.196850341479708,0.239834620956191,0.269013285388797,0.311774039734229,0.27009682866512,0.306072456947613,0.23793033695767,0.335761176239876,0.211676770883923,0.26792938230315,0.390738049082537,0.336753881398077,0.314311349012796,0.201743381124546,0.222460480265517,0.285692567652207
"M0000000512",0.845031224363837,0,0.217429824401701,0.228447353536105,0.573292241315351,0.200224835850723,0.813815498556285,0.611511019856035,0.269939264531813,0.384590336647702,1,0.341893243092202,0.781501523379649,0.767480946675357,0.572726708588264,0.803174408040575,0.287435241237672,0.219462201677124,0.258977814524793,0.209048077397242,0.24678098440728,0.289517310382963,0.308319281249355,0.267248454744863,0.320852041920433,0.240425186529651,0.327342115405312,0.216855823480924,0.270067177823211,0.4158086780319,0.33435009088159,0.312875124979346,0.199945067004307,0.230133082759348,0.288062446444827
"M0000000803",0.217735361910283,0.217429824401701,0,0.0554241550399171,0.140432177951166,0.0497315353291693,0.201253967405532,0.153490910243916,0.0684946008796736,0.0915954797521211,0.248149932857121,0.0888504682271596,0.191895591933309,0.185573055863734,0.143414567734964,0.20154430505524,0.0709910626005631,0.0567882195439425,0.0645562503291448,0.0515798978908961,0.0610012472248097,0.0694394753055676,0.0766759707669028,0.0661551181649263,0.0766258598064697,0.0614002984778505,0.0859976021021205,0.0535481641889547,0.068295781341661,0.101195635350269,0.0878211739377863,0.0746087333335302,0.0506432690875147,0.0590003282075606,0.071830783711255
"M0000000811",0.21803489753314,0.228447353536105,0.0554241550399171,0,0.148546526237125,0.0531870908078766,0.214393440472404,0.155086638453789,0.0693550179422811,0.0969226289184754,0.258892037582545,0.0850411260490456,0.198213740515735,0.192809709108847,0.146998440172478,0.20814342529653,0.0705437613968814,0.0595398990561455,0.065693936533702,0.051301570284245,0.0665749966067406,0.0736834638437459,0.0815564059800479,0.0695646025486912,0.0820325747839853,0.0627835109134991,0.0864218511409666,0.0562679499946567,0.0697361898707698,0.105571126643251,0.0867767329305174,0.0825955280641134,0.0521694404360154,0.0589272546427859,0.0784433133012664
"M0100000269",0.54056960244848,0.573292241315351,0.140432177951166,0.148546526237125,0,0.12995948234325,0.523188688360431,0.399051785837796,0.175893925404428,0.246309850691537,0.649149564038434,0.215177812426334,0.498102486916987,0.483134507091405,0.365539156766144,0.519208928337436,0.183070864386379,0.147857722847075,0.164627251992542,0.135675844929597,0.162852182756659,0.1775726141486,0.196474491719753,0.166639272371593,0.203709481303094,0.153293268558943,0.216724691449307,0.134071769814094,0.171413445046163,0.254540655721134,0.213358071640097,0.199674037262703,0.128272826912604,0.151982090395503,0.187512837297028
"M0100000616",0.197204931534564,0.200224835850723,0.0497315353291693,0.0531870908078766,0.12995948234325,0,0.184982411688989,0.138908877456091,0.0613965043560183,0.0832995834635762,0.225776004544479,0.0753692402867804,0.176449992397,0.17409216758826,0.129146133151628,0.184215107336272,0.0648251114432458,0.0529355293359163,0.0571433156964187,0.0463750181942295,0.0555565726629571,0.0618712890984518,0.0702216477263377,0.0611731450241076,0.0709070442371022,0.0563826098673239,0.0766919909108212,0.0461660655631603,0.0608489709448191,0.094628749822222,0.0768804439384654,0.0705386799031938,0.0465993215046735,0.0506094003939227,0.0688493505188329
"M0100001620",0.763987127299812,0.813815498556285,0.201253967405532,0.214393440472404,0.523188688360431,0.184982411688989,0,0.556573684613446,0.248923215604428,0.344686973794072,0.90931975302729,0.296651076657197,0.735546931832423,0.692797872447052,0.523753788045197,0.747571648087746,0.259109340235476,0.205811100520765,0.24492753045607,0.188301627974853,0.229209007096983,0.247016831507402,0.279408285067858,0.232009356612022,0.291807255190157,0.228754045919912,0.319183950445031,0.193893985322488,0.24360963423752,0.381025664232483,0.312225397838405,0.291580843325821,0.189622421708361,0.211779946510504,0.261033715699414
"M0100003001",0.588230131683266,0.611511019856035,0.153490910243916,0.155086638453789,0.399051785837796,0.138908877456091,0.556573684613446,0,0.190304974482225,0.256522450989301,0.696548451996783,0.233517125090097,0.546373320809296,0.522554170168829,0.404386116005852,0.564830140271602,0.196775878982238,0.159445014080494,0.17656849738045,0.146871250474356,0.178777361060026,0.201718651657781,0.218578338088907,0.186027956900682,0.21053432813963,0.169768167683302,0.233282720203805,0.144681670063328,0.190136546147019,0.294744899484264,0.232983947214801,0.205882597252464,0.141623980778909,0.161468063547171,0.200729508045881
"M0100015790",0.26351218063841,0.269939264531813,0.0684946008796736,0.0693550179422811,0.175893925404428,0.0613965043560183,0.248923215604428,0.190304974482225,0,0.114166579701124,0.312148561353585,0.106029370633018,0.237502371895705,0.226025921578976,0.177071094181747,0.257631186549611,0.0897097137168589,0.0723526283294298,0.0812839812564933,0.0672884883818072,0.0819353387983212,0.0891613558436679,0.0963416413945885,0.080771760344681,0.094735024168518,0.0785816885630801,0.106227015549041,0.0633354964799025,0.0844956178965905,0.12758150086206,0.105078896486609,0.0941984884422109,0.0617388909355683,0.0727984542863555,0.0888497297788916
"X10603_1",0.343820041231127,0.384590336647702,0.0915954797521211,0.0969226289184754,0.246309850691537,0.0832995834635762,0.344686973794072,0.256522450989301,0.114166579701124,0,0.424228313932034,0.143618524361976,0.319711184169958,0.314067992400336,0.2304336709184,0.325253753650544,0.116926041576704,0.0909745945434463,0.113269789481911,0.0840249273068549,0.103573763696848,0.117385020922479,0.130470041674938,0.112580401258101,0.136360444867812,0.101054328586044,0.143415329500856,0.0910607499696316,0.106022549159541,0.177143847355695,0.130132543884833,0.12547712247815,0.0847155183950677,0.104392956558224,0.123009243947519
