"","M0000001442","M0100001359","M0100006614","ENSG00000049618.24","ENSG00000111860.14","ENSG00000113360.17","ENSG00000114857.18","ENSG00000134453.16","ENSG00000141027.21","ENSG00000156650.14","ENSG00000170471.15","ENSG00000198265.12","ENSG00000204120.16","ENSG00000237296.9","ENSG00000243716.10","ENSG00000270647.6"
"M0000001442",0,0.0325603847697909,0.0333236478571182,0.0321872078206677,0.0383734144846815,0.0363667984892228,0.040008229126229,0.0448143511169633,0.0364602805818173,0.0296460665977697,0.0446252658885477,0.0269789953714806,0.0399172260972172,0.0511288721585446,0.025975630188766,0.0436750365031232
"M0100001359",0.0325603847697909,0,0.0261579013715002,0.0242773545148227,0.0293052151407804,0.0290111991640338,0.0313185927575835,0.0321956465142303,0.0285269322731884,0.0238924480983546,0.0337780584642727,0.0200798331696173,0.0298192416988133,0.0358124226929537,0.0204229820366664,0.0308018626548545
"M0100006614",0.0333236478571182,0.0261579013715002,0,0.0240380012219211,0.0314524281422982,0.0314143636224439,0.0337105652862335,0.0337931342277532,0.0330549061565158,0.0248288507781265,0.031878161028383,0.0214134385685819,0.032461910662767,0.0401107171048936,0.0235817172258457,0.0315487109599113
"ENSG00000049618.24",0.0321872078206677,0.0242773545148227,0.0240380012219211,0,0.0278247792263752,0.0268784781181187,0.0300921043832438,0.0331836409161301,0.0287893546918565,0.0223853896453175,0.0334867731336684,0.0209802261543736,0.0293526566607483,0.0348105642207756,0.0201375167895685,0.0345698647491751
"ENSG00000111860.14",0.0383734144846815,0.0293052151407804,0.0314524281422982,0.0278247792263752,0,0.0317824117605346,0.0341412684480472,0.0373815682989098,0.0323242854145383,0.0267052654055768,0.0386711785470138,0.0218445415833372,0.0351554675058962,0.043068457281666,0.0230838016892826,0.0355179545358692
"ENSG00000113360.17",0.0363667984892228,0.0290111991640338,0.0314143636224439,0.0268784781181187,0.0317824117605346,0,0.0347801466750692,0.0362750535226806,0.0349087177760058,0.0265483979621917,0.0342242857323163,0.0223612430638377,0.0342681514501478,0.0407240159750532,0.0238888963989245,0.0341637454445181
"ENSG00000114857.18",0.040008229126229,0.0313185927575835,0.0337105652862335,0.0300921043832438,0.0341412684480472,0.0347801466750692,0,0.0435691621379489,0.0344902643365127,0.0293276781978346,0.0421596858479272,0.0261276013579635,0.0402936855650689,0.0428645742446606,0.0245379529481884,0.0408076342416194
"ENSG00000134453.16",0.0448143511169633,0.0321956465142303,0.0337931342277532,0.0331836409161301,0.0373815682989098,0.0362750535226806,0.0435691621379489,0,0.0391524799847576,0.0324921503176663,0.0452572826354353,0.0265934527566961,0.0420289312040902,0.0480750466200698,0.0251579816733866,0.0453732917583567
"ENSG00000141027.21",0.0364602805818173,0.0285269322731884,0.0330549061565158,0.0287893546918565,0.0323242854145383,0.0349087177760058,0.0344902643365127,0.0391524799847576,0,0.0246179692313013,0.0370829318085969,0.0234445941870793,0.0349676968463259,0.0441790335871626,0.0234522109754937,0.0353041070797416
"ENSG00000156650.14",0.0296460665977697,0.0238924480983546,0.0248288507781265,0.0223853896453175,0.0267052654055768,0.0265483979621917,0.0293276781978346,0.0324921503176663,0.0246179692313013,0,0.0330384018830396,0.0190611275398025,0.0294723465566615,0.0342549696010771,0.0208332230506862,0.0299292728178245
"ENSG00000170471.15",0.0446252658885477,0.0337780584642727,0.031878161028383,0.0334867731336684,0.0386711785470138,0.0342242857323163,0.0421596858479272,0.0452572826354353,0.0370829318085969,0.0330384018830396,0,0.0266489994904569,0.0430498387459934,0.0520998425929326,0.027498150897483,0.0457718892570017
"ENSG00000198265.12",0.0269789953714806,0.0200798331696173,0.0214134385685819,0.0209802261543736,0.0218445415833372,0.0223612430638377,0.0261276013579635,0.0265934527566961,0.0234445941870793,0.0190611275398025,0.0266489994904569,0,0.0239015908898223,0.0305023697661925,0.0164316216488973,0.0278863038265236
"ENSG00000204120.16",0.0399172260972172,0.0298192416988133,0.032461910662767,0.0293526566607483,0.0351554675058962,0.0342681514501478,0.0402936855650689,0.0420289312040902,0.0349676968463259,0.0294723465566615,0.0430498387459934,0.0239015908898223,0,0.0474544785694996,0.0240661536244757,0.0404062532718813
"ENSG00000237296.9",0.0511288721585446,0.0358124226929537,0.0401107171048936,0.0348105642207756,0.043068457281666,0.0407240159750532,0.0428645742446606,0.0480750466200698,0.0441790335871626,0.0342549696010771,0.0520998425929326,0.0305023697661925,0.0474544785694996,0,0.033756795096825,0.046777650321079
"ENSG00000243716.10",0.025975630188766,0.0204229820366664,0.0235817172258457,0.0201375167895685,0.0230838016892826,0.0238888963989245,0.0245379529481884,0.0251579816733866,0.0234522109754937,0.0208332230506862,0.027498150897483,0.0164316216488973,0.0240661536244757,0.033756795096825,0,0.0238157536008731
"ENSG00000270647.6",0.0436750365031232,0.0308018626548545,0.0315487109599113,0.0345698647491751,0.0355179545358692,0.0341637454445181,0.0408076342416194,0.0453732917583567,0.0353041070797416,0.0299292728178245,0.0457718892570017,0.0278863038265236,0.0404062532718813,0.046777650321079,0.0238157536008731,0
