"","M0000000098","M0000000917","M0100001106","M0100001391","M0100001999","M0100002129","M0100004541","M0100006116","M0100008994","M0100009026","M0100009123","M0100015755","M0100020377","M0100020409","M0100021374","M0100022006","M0999907765","M0999912026","M0999923680","X10800_15","X11355_10","X12444_39","X12450_42","X12685_57","X13572_43","X15435_4","X15515_2","X17355_56","X17384_110","X18339_207","X18401_18","X18870_1","X3026_5","X5228_25","X7625_27","X9747_48","ENSG00000005812.11","ENSG00000014123.10","ENSG00000069275.13","ENSG00000072401.15","ENSG00000079277.22","ENSG00000082074.19","ENSG00000084090.14","ENSG00000085063.17","ENSG00000085978.22","ENSG00000087206.17","ENSG00000100129.18","ENSG00000100823.12","ENSG00000103365.15","ENSG00000104343.21","ENSG00000105373.19","ENSG00000108312.15","ENSG00000110931.19","ENSG00000115053.17","ENSG00000118596.12","ENSG00000120899.18","ENSG00000120992.18","ENSG00000121060.18","ENSG00000129103.19","ENSG00000130520.11","ENSG00000133703.13","ENSG00000134152.11","ENSG00000134851.13","ENSG00000139746.16","ENSG00000144848.11","ENSG00000145912.9","ENSG00000155287.11","ENSG00000158201.10","ENSG00000162923.17","ENSG00000163412.13","ENSG00000163466.16","ENSG00000167207.14","ENSG00000167658.16","ENSG00000168421.13","ENSG00000172965.17","ENSG00000181381.14","ENSG00000189091.13","ENSG00000198162.12","ENSG00000198242.14","ENSG00000198604.11","ENSG00000198833.7","ENSG00000204590.12","ENSG00000211747.3","ENSG00000211772.11","ENSG00000225190.11","ENSG00000230989.7","ENSG00000242616.4","ENSG00000246263.3"
"M0000000098",0,0.00223789461843405,0.0083538400690778,0.00620925214983157,0.0173999783819261,0.0222158139300492,0.00705368388961862,0.00183643119157418,0.0120793714427464,0.00956464390615479,0.0153918279978029,0.0054074110269582,0.00571809682937013,0.0045678570066127,0.0327947739195058,0.00547849184704695,0.001659124049445,0.0105510031238844,0.00156732552171784,0.00316778785978199,0.00261522780439583,0.00120068903536966,0.0106853755926471,0.0105058596356906,0.000405353690009694,0.0333254350494963,0.0364019425605119,0.0148809709479835,0.017727570885576,0.000825279993781002,0.00157265877712554,0.000850235342039849,0.00108726045948277,0.00082129738163092,0.0291123743716555,0.00920179597552826,0.00625979016124281,0.000671566076231221,0.00897123819125244,0.00768062739016175,0.000345422583045963,0.0155298776341782,0.00227329319086791,0.000854742096055747,0.00122761917499977,0.00549881519317679,0.00172234181911842,0.007397440657903,0.00504545725090668,0.00476897162044486,0.000884985710918975,0.000565496318885786,0.0217185326752299,0.000390739990297032,0.0254233522502432,0.0045995885794969,0.00026132850526712,0.00519367315995336,0.0141179363918574,9.71820739853881e-05,0.00450056093110845,0.00494430254535903,0.00667997395952544,0.00182277511619355,0.00527385442057534,0.000941225070941333,0.00100922263159615,0.00453158924478481,0.000663491512647934,0.0216386711781068,0.00697638292008119,0.0159188825517214,9.54215976920164e-05,0.00508956391188495,0.0202139255367755,0.0205459032145163,0.00608471382929624,0.00888488646632692,0.0023955414562635,0.00603425503886005,0.00800016917257976,0.00274976482021488,0.0120491395161646,0.00975008399221554,0.00620074472540443,0.000763535720106366,0.00475125467663852,0.00596312740183641
"M0000000917",0.00223789461843405,0,0.00226204597151428,0.000483904116340281,0.00534649090579256,0.00613465474446402,0.00560110341982419,0.00145627765054008,0.00523251993028054,0.00356894993667839,0.00674262003896071,0.00216333423506691,0.00361128459639872,0.00232509684950217,0.0119309628925261,0.00204951076918785,0.00117472764221041,0.00887531104020963,0.000325864940347642,0.00229814355324004,0.00229975098143292,0.00101431394435482,0.00321070256777385,0.00452843709309543,0.000529782980730035,0.00456394411809473,0.0310030598123005,0.00357457779210778,0.0074086681741466,0.00090263598088242,0.00125032097309976,0.000668751586089113,0.00143761682643903,0.000865036072213646,0.00413354230326572,0.00485030746720468,0.00274347759668032,0.000655326435576803,0.00488028617114318,0.002340029775331,0.000286652507926532,0.00447805540642805,0.00146278398999539,0.00114857397750418,0.000754939596983811,0.00223526428953615,0.00178230247286401,0.000672035164741301,0.00280134927692743,0.00351671257912971,0.000748549545430042,0.000692655062676768,0.00433191577928625,0.000336694494900992,0.00421701988204797,0.00127105544033511,0.000308345922144231,0.00390850693106204,0.00709269864663259,0.000113747477239071,0.00127922277006297,0.00251920650620251,0.00384056323270645,0.000994234485094621,0.00360218343552702,0.00101793871087655,0.000702747299069081,0.00268789296379073,0.00063802892124587,0.00365622704087832,0.00298370966651995,0.00493995518043307,0.000151386896144954,0.00258025954640086,0.00407384246234988,0.0041689933087906,0.00389862160933766,0.00112176075726404,0.00115508885308262,0.0019437818352996,0.00660461063809435,0.00203977755715233,0.00322395623636362,0.00189426436642681,0.00248691769077923,0.000548691182229599,0.00358455162766176,0.00303796365748543
"M0100001106",0.0083538400690778,0.00226204597151428,0,0.00337963219821833,0.0109187319289441,0.014229241688755,0.00751121583771428,0.00207511881126312,0.00934373218763879,0.00937015553645168,0.0126652713904376,0.00628718560363647,0.00559986151669031,0.00444554519855508,0.0236604536471908,0.00388258710546481,0.00199099433210317,0.0113158003771053,0.00103591309072408,0.00276207369350108,0.00256198097344375,0.00120399766737897,0.00810852887517113,0.0112845246800351,0.000497212101317894,0.0230274157213529,0.0375564307726366,0.0165708654394077,0.0197787679653445,0.000739898191012564,0.00147780824215605,0.00084015571385966,0.00112785379667897,0.000928045041469485,0.018169120482786,0.0101105025706697,0.00681788561213153,0.000757071480669178,0.00953034791404526,0.00504703880786909,0.000347093838594523,0.0104310746718009,0.00279348095308774,0.00131626634110095,0.00137609319401751,0.00520481768398094,0.00199773381639382,0.00360222202952317,0.00575249338485695,0.00524302752275515,0.000901128377537077,0.000645472713651854,0.0133817067930995,0.00046862728853039,0.013113068226903,0.00277465802782638,0.000328009218112053,0.00619845093164365,0.0120772083177665,0.000102931067654274,0.00299203244905131,0.00498404776418437,0.00584580929923549,0.00206576961654296,0.00602184937913012,0.000926227696857229,0.00116399434093161,0.00503297342162809,0.000703562092875094,0.0130517305723446,0.00687317174959844,0.0108865773272322,0.000154030772781257,0.00479252302381202,0.0113602265904177,0.0125844469375575,0.00660887335700163,0.00446333568084085,0.00226262173267971,0.00478337009150182,0.00811610334223072,0.00307845552305114,0.00684517161524794,0.00613887443957213,0.00526139984743837,0.000945333152290279,0.00483532673378521,0.00552624141640136
"M0100001391",0.00620925214983157,0.000483904116340281,0.00337963219821833,0,0.00660992147611647,0.00861934217042823,0.0015997228026072,0.000504738545755174,0.00393907792305166,0.00255220694126363,0.00532976548850152,0.00159902204616705,0.000824318587596338,0.0014421547966305,0.0111502265479464,0.00224841613476251,0.00050488605473257,0.00229892146402091,0.000912222403070574,0.000374239303372976,0.000563117519462877,0.000116003877572223,0.00426143899361472,0.00274744812806745,0.000151444248309988,0.0132420406746034,0.00778848921633212,0.00451416378967094,0.00451035215991576,5.91834414017831e-05,0.000218297801902254,0.000131174595883882,0.000156218536634569,0.000251209441619105,0.0140238493359078,0.00226430226371566,0.00159017542934889,0.000141271196511607,0.00245932717131213,0.00265057551029668,5.79615075635872e-05,0.00628958504881241,0.000639027308363514,0.000369905837073913,0.000362540445380345,0.00179601524974861,0.000434638960034479,0.00332430683019928,0.00142634856443442,0.00122472315953901,0.000145108607702261,0.00017191294156688,0.00860988727302975,9.41755313583957e-05,0.0101916502752511,0.00166660356344685,9.05434724873976e-05,0.00155587297728093,0.00497231421342464,1.83476320667128e-05,0.00169329723550441,0.00118452300380687,0.00224918356469055,0.000509735640159084,0.00147938890041039,0.000195695670495386,0.000276753286507986,0.00118234418932763,7.25102813248645e-05,0.0085497394681457,0.00164584953342237,0.00587941469053578,3.50411928848619e-05,0.00117159032000257,0.008348448072773,0.0081980685292795,0.00146950605595674,0.00387147921213886,0.000791980420009168,0.00184193257901242,0.00212056495850487,0.000712526378302897,0.00499890130822509,0.00445151802933595,0.00166546626197607,0.000261137137232656,0.00104177828506587,0.00104848955426912
"M0100001999",0.0173999783819261,0.00534649090579256,0.0109187319289441,0.00660992147611647,0,0.0290498735987688,0.0146593238166824,0.00373701476990609,0.0182354598016475,0.0130581766675048,0.0235906105600622,0.00810879629744568,0.0101468296632512,0.00746053608648047,0.0459115184915881,0.00803888622246143,0.00317280988355079,0.0218209826786741,0.00189150695680203,0.00544930131238163,0.00580436746961795,0.00255216923440514,0.0152938226385122,0.0161446110194043,0.0010927624414598,0.036597259479314,0.0798955824329261,0.017490072255027,0.0260785434988702,0.00176812338170269,0.00316640889917409,0.00175196516040855,0.00258711907858685,0.00209777794457419,0.0331684463359011,0.015497180141996,0.00961575605110236,0.00158873230472629,0.0160113069683749,0.00928542868702248,0.000817027935873288,0.0204268566090388,0.00444668287526749,0.00233310124095778,0.0022386333301412,0.0081685881608973,0.0039535749448073,0.00774101339966514,0.00914714431605274,0.00924888636175263,0.00173893611224993,0.00148998538055469,0.0235227124527688,0.000934336150674113,0.026731862432392,0.00565807279864046,0.000683017210438031,0.0097060116738344,0.0209863520513426,0.0002041392453941,0.00614579670831659,0.0080855212790726,0.0124211861897947,0.00327794034264629,0.00958699080555514,0.00219253811863171,0.00198310197151048,0.00821716740371885,0.00137042463335858,0.0251036993990235,0.0103506569352901,0.0211066862818034,0.000278548940779761,0.00832370661347926,0.0237603507153276,0.0247138431939031,0.0105360015165855,0.00884104531588067,0.00398841329350702,0.00855867938118693,0.016928906021778,0.00572173566289511,0.0152592721046192,0.0108433680441754,0.00863302376566347,0.00169738280931135,0.00951895693769293,0.0089781489567858
"M0100002129",0.0222158139300492,0.00613465474446402,0.014229241688755,0.00861934217042823,0.0290498735987688,0,0.0190151155546588,0.00467579236637891,0.0237152279911621,0.0169819515617626,0.0311687539590036,0.0102200598915286,0.0147061960648344,0.0096402070989205,0.0596336065461406,0.0105404500123477,0.00417367386036034,0.0280455503633429,0.0027893374038606,0.00747350832888237,0.00665613326221168,0.00382952642966629,0.0194064114576106,0.0182924505118233,0.00123986709646603,0.0479353734474366,0.101516415007457,0.0250358566228375,0.0328724511575747,0.00260867032621268,0.00451201588282544,0.00221198083406537,0.00377442080501571,0.00247867752702364,0.0434675566465962,0.0196889446164759,0.0119919086178737,0.00234871717955137,0.0214623507836444,0.013027444311853,0.00105104245780407,0.0261386278275923,0.00660971410755466,0.0029598500812988,0.00269655834420804,0.0105531853440392,0.00578018533225555,0.0105142914635031,0.0110273885100053,0.0112380077816377,0.00240284185015167,0.00190006530668559,0.0301835284661241,0.00137023663378474,0.0359208624675272,0.00793560623305489,0.000961056691103192,0.0122927162858576,0.0279323802419317,0.000285946410484443,0.00859717949384113,0.00934052846023476,0.0141689947821758,0.00459153642383813,0.0122002022154486,0.00261774530327237,0.00262174061184272,0.0115233835204815,0.00221266253451444,0.0330560009254132,0.0132248125344861,0.0273687001851135,0.000458942133272874,0.0105179056614115,0.0341932365013553,0.0335235985518259,0.0119503360617936,0.0128081606048176,0.00548481428753544,0.0118626766779132,0.018647913473652,0.00736625300324856,0.0205556743809338,0.0142825473449689,0.0101699185188989,0.00231957326877972,0.0111412275349716,0.0120562840245646
"M0100004541",0.00705368388961862,0.00560110341982419,0.00751121583771428,0.0015997228026072,0.0146593238166824,0.0190151155546588,0,0.00420435120938313,0.016269559732674,0.0133484555929755,0.0206744349028031,0.00869439281183642,0.0117029879270538,0.00736321314294083,0.0365448273113143,0.00595386027213718,0.00364538195964461,0.0252263163723717,0.000848066366778283,0.00615249756532909,0.00607771485258789,0.00315212542144163,0.010248862950135,0.0150086703905541,0.00120410157882444,0.0190595923122908,0.0919901459077922,0.016671379867983,0.0289705498040911,0.00210642050057569,0.00374988175708292,0.00220900633900032,0.00304683203553792,0.00226194834860677,0.0137434452166098,0.0169446278338118,0.0100092040948988,0.00194847065798589,0.0164535869216743,0.00692737824994912,0.000865612897630305,0.013868573754137,0.0054030119178088,0.00309928757716143,0.00229403846920327,0.00797734193412546,0.00480186833297816,0.00247121375980749,0.00968927134701639,0.00966824713033952,0.00220025522681347,0.00155625209457059,0.0129026656053687,0.00113232549886047,0.0124174929517777,0.00411859346554546,0.00078871748009216,0.0112791331194029,0.018649582647717,0.000227998266530718,0.00447635955799109,0.00793272984224336,0.0112741291094029,0.00365073520832207,0.0107975922676379,0.00227994988976643,0.00224702126957614,0.00932785218687016,0.00180520032247666,0.0152865105526313,0.0116281146639647,0.0139890601672014,0.000377431065801065,0.00879188358596237,0.0123579238002769,0.0149132840560076,0.0103259552428283,0.00359385816670667,0.00431052749328023,0.00756385479856441,0.0169184256613985,0.00632897388730429,0.00787832127166656,0.00647874240280091,0.0072283574731386,0.00191535298795975,0.00997045997883857,0.0111972084781788
"M0100006116",0.00183643119157418,0.00145627765054008,0.00207511881126312,0.000504738545755174,0.00373701476990609,0.00467579236637891,0.00420435120938313,0,0.00400017384484268,0.00372947971569111,0.00522057711483287,0.00250831327142766,0.00274650898101371,0.00201385943146432,0.00934956403452225,0.00153219720256258,0.00103598125333732,0.00614332348815435,0.000275356642603932,0.00151187330549021,0.00157696740186289,0.000558241762987613,0.0029895860536,0.00460396131004393,0.000336913695658917,0.00602371571116829,0.0221850012387588,0.00519066043431351,0.0074375757735138,0.000442729723808621,0.000830310590457795,0.00042865653794238,0.000783290401205048,0.000526183271587434,0.00415901641674617,0.0043664794865499,0.0028285629909234,0.000423690698427698,0.00453266396587891,0.00205456537733489,0.000168191742247915,0.00334651128931815,0.00149867482050556,0.000884638627629567,0.000677053297256725,0.00215216201569334,0.00130269346155783,0.000680867224261708,0.00302145831768332,0.0026798923316912,0.000480393029622529,0.000398829336250128,0.00360539947836552,0.000259728647018658,0.0033328329600202,0.000932301312642628,0.000230940288766901,0.00293050925342117,0.00553547611447778,6.27686882628567e-05,0.00103497653625367,0.00230918557099557,0.00267173071220703,0.000953173710669558,0.00322545696262463,0.000628870915996891,0.00062420230315555,0.00236506768701109,0.000376712967397757,0.00382554471184251,0.00259603523673707,0.00423526338876605,0.000101457048955715,0.00233910843007689,0.0031925502633891,0.00365077815650566,0.00289748891851002,0.00086360579971036,0.00118501573107676,0.00176770621986918,0.00454110123299444,0.00161478246226658,0.00201372364286619,0.00187607609208357,0.00214037142034269,0.000476046850325882,0.00272090353735874,0.00259113970235685
"M0100008994",0.0120793714427464,0.00523251993028054,0.00934373218763879,0.00393907792305166,0.0182354598016475,0.0237152279911621,0.016269559732674,0.00400017384484268,0,0.0196435625057376,0.0227304146774063,0.00897435792892851,0.011360603465702,0.00769723611565866,0.0430936385641124,0.00690654568046742,0.00360584205323305,0.0245431206340653,0.00126713760257893,0.00590309119054655,0.00547825507906327,0.00302923666985682,0.012739850178485,0.0160508432037054,0.00122532295448622,0.0280670846901832,0.0873951174520717,0.0187884535998138,0.0287675359976851,0.00215034352983193,0.00338688755423147,0.0023000509325324,0.00305980569807706,0.0021401493945491,0.0259882441529634,0.0183285483105593,0.0113875299441419,0.00201198921613376,0.0169711521671109,0.00859190718475085,0.000902746363249789,0.0192207228243987,0.00506926581633023,0.00258748728753988,0.00207997333813135,0.00957522351041571,0.00452145242061836,0.00585643842755106,0.00964794469071547,0.0095109415137665,0.00211987259688692,0.0015705555446312,0.0258907884023672,0.00114629924760711,0.026916244611573,0.00578920731321057,0.000803439326810474,0.0107012511460757,0.0220820895868234,0.000239549332588989,0.00555979288906908,0.00967854277954891,0.0123430410318761,0.00400193204999991,0.010357123596142,0.0022359422168397,0.00221465258937242,0.0101310479697381,0.00175716035771633,0.0233298500268218,0.0130041567040519,0.019340622894316,0.000394173988957608,0.0100463664498487,0.023436563718249,0.0213262062927067,0.0103899872900751,0.00955732733272255,0.00431526230984688,0.0101591415483252,0.016111335710196,0.00664731541386474,0.0128974559224198,0.0132167134501973,0.00795708970032037,0.00191596070754037,0.00937027755248024,0.0135705365215056
"M0100009026",0.00956464390615479,0.00356894993667839,0.00937015553645168,0.00255220694126363,0.0130581766675048,0.0169819515617626,0.0133484555929755,0.00372947971569111,0.0196435625057376,0,0.0194915625856199,0.0136021996213385,0.0103159912480063,0.00786290702663423,0.0355651416934633,0.00455078644521798,0.00384183575488163,0.0206817394253819,0.000771082225020379,0.00466814263709519,0.004160890474371,0.00201323407968085,0.0122829179453648,0.0240220088291955,0.000781967218786517,0.0356624413700791,0.0631426657255278,0.0367743231080532,0.0437089899679689,0.00113154047020021,0.00252442934368352,0.00142495609073056,0.00171659220688707,0.00154975630499495,0.0250953225479522,0.0204656024171818,0.015918366867422,0.00129954857726072,0.0188953384978808,0.00620310369050929,0.000598626075567244,0.0174085903718068,0.00526995080904283,0.00211576660524238,0.0026055643361364,0.0115784270126613,0.00329573187170806,0.00452548141836328,0.0115151445087093,0.00972039528285713,0.00160451509008518,0.000968957065020396,0.0282225022893818,0.000786115037132428,0.0258192304186763,0.00402817059564215,0.000502734328277125,0.0122091646427912,0.0213780356911167,0.000177359607382396,0.00416875188682849,0.0117692573156338,0.00919490832711325,0.00401663900421353,0.0116376557935288,0.00142944827690162,0.00217204436031121,0.0108889526980658,0.00118797436706273,0.0215915133937003,0.0150022231276399,0.0167439462013562,0.00025099891867344,0.0113785714054227,0.0204497077466681,0.017442230712296,0.01342933258754,0.00825122874495379,0.00365346689207895,0.0115691639520434,0.0139271435197195,0.00552237095094022,0.0104343192212812,0.0130217435803226,0.0100457044639769,0.00171621937919519,0.00882559028034739,0.0164405134154534
"M0100009123",0.0153918279978029,0.00674262003896071,0.0126652713904376,0.00532976548850152,0.0235906105600622,0.0311687539590036,0.0206744349028031,0.00522057711483287,0.0227304146774063,0.0194915625856199,0,0.0127522938770971,0.0153755267166899,0.0102887060011263,0.0544248145048153,0.00901721762145267,0.00479937269528224,0.0312579446164619,0.00185033771249802,0.0079149892653936,0.00733792064865921,0.00385075269297891,0.0170160978433411,0.0224097281042345,0.00144774087860854,0.0388271037343205,0.110826747023844,0.0326892839584251,0.0391854906056386,0.00256562037242116,0.00452276103535493,0.0026885926785875,0.00367298799896197,0.00272245656706532,0.0311167592464356,0.0222802729688275,0.0142424146199856,0.00234044447422441,0.0221198588419008,0.0112479704001687,0.00104905936304634,0.0220176908758015,0.00688608506156571,0.00371200135926331,0.00296961055251898,0.0112660741512187,0.00579881378265355,0.00631809933019227,0.0129853605254793,0.0133748729334599,0.00268365572613742,0.00187706449205879,0.0248887433031948,0.00136786393760367,0.025896575402796,0.00644028970193103,0.00094573785268673,0.0155340229887249,0.0273632632589535,0.000286073409878829,0.00676857269864592,0.0108688695042664,0.015390519173901,0.0047728829346771,0.0142707978831942,0.0027565105136795,0.00275952391598399,0.0128252339282048,0.00218532740485691,0.0262813835625585,0.0155053793639682,0.0229666291079633,0.000453635824058439,0.0113301427362695,0.0229258249307069,0.0262363409837803,0.0154234399305574,0.00817590253320907,0.00568990833138451,0.010612726379898,0.0218968262716063,0.00800870976148635,0.0148649015848884,0.0112439053640632,0.0118166833300888,0.00225435642560836,0.0123500061272128,0.0131501564375194
"M0100015755",0.0054074110269582,0.00216333423506691,0.00628718560363647,0.00159902204616705,0.00810879629744568,0.0102200598915286,0.00869439281183642,0.00250831327142766,0.00897435792892851,0.0136021996213385,0.0127522938770971,0,0.00658704344058697,0.00534591641815345,0.0211059715486075,0.00272678788984651,0.00264919993145471,0.0134328292500031,0.000423049424157188,0.00272450784621279,0.00261935246917087,0.00109784596069654,0.00833133987278976,0.0174773950552991,0.000500603018373513,0.0245538911570625,0.0398566296310848,0.0271111338075601,0.0313840707405644,0.000600462117126312,0.00158326855762059,0.000893194709257498,0.000806096655462253,0.00108757048532639,0.0136918282677497,0.0141143801060301,0.010321111550422,0.000767242077821284,0.0125273741823902,0.0034649234864449,0.000331505605520721,0.00890599965820854,0.00377520607741898,0.00152970039688621,0.00190944867560907,0.00687774539446239,0.00201982401857305,0.00135480243924048,0.0079637483299782,0.00659978499017109,0.00093637703665824,0.000544963962144519,0.0123332086293625,0.000425354744605208,0.00869954036998582,0.00169458094883859,0.000280846160790362,0.00828683761342728,0.0131991864887417,8.76383955058792e-05,0.0023870913973256,0.00696984894430401,0.00637139068550394,0.00274412917977947,0.00803628290808709,0.000797095491257525,0.00144557103932627,0.00696991207181331,0.000600911524946754,0.0107747797806209,0.0100948577112574,0.00928244836672066,0.000103744743629041,0.00635048011973669,0.00722525227677997,0.00995166954945671,0.0093083563791373,0.00160088248114529,0.00222587374552482,0.00514346520190331,0.00991402241250611,0.00358270160577697,0.00403888626848882,0.00509352440991524,0.00682816790590066,0.0012037362595874,0.00581271921860075,0.00779934381633732
