"","M0000000925","M0100001468","M0100001740","M0999912411","M0999921310","M0999922143","M0999923636","X11361_73","X9565_6","ENSG00000112343.11","ENSG00000113140.11","ENSG00000203618.6","ENSG00000203880.12","ENSG00000204257.15","ENSG00000237440.9","ENSG00000259207.9"
"M0000000925",0,0.00884883393131798,0.00521859361964265,0.013341978272465,0.013168804252775,0.00834746613269963,0.00525459610894459,0.0148490134811144,0.00870749916361849,0.0163301592576097,0.0124376356275324,0.0077949666799576,0.0119520461652632,0.00490079715607302,0.0171234604393058,0.0166315222124811
"M0100001468",0.00884883393131798,0,0.00338426163269375,0.00844153228013158,0.00814032849665806,0.00684308688505617,0.00328682000322804,0.0103190777865806,0.00603324486492446,0.00922255476924073,0.00772692611152199,0.00566705401920005,0.00799330025933448,0.00310613261387494,0.0122913981686108,0.00950746319064034
"M0100001740",0.00521859361964265,0.00338426163269375,0,0.00481059185368152,0.00464025017373408,0.00315551317302601,0.00194098801193038,0.00539965372880312,0.00317356196807236,0.0056262674875682,0.00450678102120746,0.00281903213058804,0.00427435943958901,0.00176501856302345,0.00597701492505848,0.00563463630616397
"M0999912411",0.013341978272465,0.00844153228013158,0.00481059185368152,0,0.0117924569641972,0.00771678742036161,0.00480667662032479,0.0142666991894455,0.00838269036648703,0.0139186932966661,0.0114692083686537,0.00721111083156853,0.0106689146748413,0.00434850287304018,0.0147757882261909,0.0142190519306323
"M0999921310",0.013168804252775,0.00814032849665806,0.00464025017373408,0.0117924569641972,0,0.00760055317621497,0.00448339471393876,0.013408711732992,0.00829069863631275,0.0134721323078965,0.0116138550286205,0.00675129463555137,0.00998631901347949,0.00434805139132562,0.015023505894761,0.013606929765813
"M0999922143",0.00834746613269963,0.00684308688505617,0.00315551317302601,0.00771678742036161,0.00760055317621497,0,0.0030324995151229,0.00957898031440937,0.00604269313341302,0.00880312190740913,0.00688027644936251,0.00448701874999521,0.00749676016577868,0.00260595602832749,0.0126866046136568,0.00896874236497659
"M0999923636",0.00525459610894459,0.00328682000322804,0.00194098801193038,0.00480667662032479,0.00448339471393876,0.0030324995151229,0,0.00506479313954715,0.00293554762059381,0.0051266520370362,0.00433586539392143,0.00283547892760804,0.00430988827574125,0.00180618777555074,0.00551761852446313,0.0058485341369048
"X11361_73",0.0148490134811144,0.0103190777865806,0.00539965372880312,0.0142666991894455,0.013408711732992,0.00957898031440937,0.00506479313954715,0,0.0123035885771212,0.0152340472229175,0.0135692675513018,0.00922547012145842,0.0108531888363886,0.00402269060490779,0.0175947000673271,0.0164081031023422
"X9565_6",0.00870749916361849,0.00603324486492446,0.00317356196807236,0.00838269036648703,0.00829069863631275,0.00604269313341302,0.00293554762059381,0.0123035885771212,0,0.0095015394641511,0.00760706032473544,0.00523076389611852,0.00687412534196027,0.00259573189689164,0.0101980544681697,0.00840803002971219
"ENSG00000112343.11",0.0163301592576097,0.00922255476924073,0.0056262674875682,0.0139186932966661,0.0134721323078965,0.00880312190740913,0.0051266520370362,0.0152340472229175,0.0095015394641511,0,0.0125936442868095,0.00831763665220598,0.0127278102130894,0.00510083041019252,0.0198119553726222,0.0161916828083199
"ENSG00000113140.11",0.0124376356275324,0.00772692611152199,0.00450678102120746,0.0114692083686537,0.0116138550286205,0.00688027644936251,0.00433586539392143,0.0135692675513018,0.00760706032473544,0.0125936442868095,0,0.00659610234243736,0.00943645375247498,0.00431298861286178,0.0136455067667767,0.0131445448643428
"ENSG00000203618.6",0.0077949666799576,0.00566705401920005,0.00281903213058804,0.00721111083156853,0.00675129463555137,0.00448701874999521,0.00283547892760804,0.00922547012145842,0.00523076389611852,0.00831763665220598,0.00659610234243736,0,0.00670665619012722,0.00266739498592086,0.00788159387636725,0.00884954124567487
"ENSG00000203880.12",0.0119520461652632,0.00799330025933448,0.00427435943958901,0.0106689146748413,0.00998631901347949,0.00749676016577868,0.00430988827574125,0.0108531888363886,0.00687412534196027,0.0127278102130894,0.00943645375247498,0.00670665619012722,0,0.00386942353895935,0.0147559660686101,0.0139262145918528
"ENSG00000204257.15",0.00490079715607302,0.00310613261387494,0.00176501856302345,0.00434850287304018,0.00434805139132562,0.00260595602832749,0.00180618777555074,0.00402269060490779,0.00259573189689164,0.00510083041019252,0.00431298861286178,0.00266739498592086,0.00386942353895935,0,0.00495006802125474,0.00523592337198197
"ENSG00000237440.9",0.0171234604393058,0.0122913981686108,0.00597701492505848,0.0147757882261909,0.015023505894761,0.0126866046136568,0.00551761852446313,0.0175947000673271,0.0101980544681697,0.0198119553726222,0.0136455067667767,0.00788159387636725,0.0147559660686101,0.00495006802125474,0,0.0171897745229158
"ENSG00000259207.9",0.0166315222124811,0.00950746319064034,0.00563463630616397,0.0142190519306323,0.013606929765813,0.00896874236497659,0.0058485341369048,0.0164081031023422,0.00840803002971219,0.0161916828083199,0.0131445448643428,0.00884954124567487,0.0139262145918528,0.00523592337198197,0.0171897745229158,0
