"","M0000000512","M0000001026","M0100000269","M0100002107","M0100002500","M0100009007","M0100009160","M0100009162","M0100015586","M0100015620","M0100015788","X10372_18","X11926_23","X18408_26","X3339_33","X3343_1","X8325_37","ENSG00000003756.17","ENSG00000100784.12","ENSG00000113369.9","ENSG00000123106.10","ENSG00000124831.19","ENSG00000163393.13","ENSG00000166669.13"
"M0000000512",0,1,0.326744872879858,0.274316087841712,0.252282899523862,0.42651613718276,0.460371351318958,0.311284418792354,0.422963100391257,0.346214191306618,0.312420841364606,0.330188531723851,0.614865170830953,0.661766297908286,0.284453857974004,0.473541828960943,0.570775632271809,0.22997240289305,0.297083069170944,0.288466675914184,0.308286864567846,0.345108924288407,0.327003731579728,0.284628049926051
"M0000001026",1,0,0.423897945943478,0.298213687200366,0.261089364394751,0.434036045371495,0.506393571773231,0.334201733867072,0.481148793238389,0.384602968313406,0.340076083713257,0.377372445592291,0.833071839823446,0.861990337634723,0.250260919241563,0.411798424388408,0.545452133618569,0.274098331625584,0.330764720228678,0.326879898110672,0.368613388262929,0.410653778005994,0.355698999981321,0.349601360967978
"M0100000269",0.326744872879858,0.423897945943478,0,0.110527045295299,0.102542211072836,0.167086295668356,0.18389276660165,0.122534995669495,0.170972681526104,0.143861513607132,0.123499297013457,0.123938335403741,0.281768245474018,0.292910052936081,0.106638068896093,0.175124806704919,0.222939045182261,0.102777939905417,0.120292669785103,0.113826868701164,0.128581659266085,0.139930002132221,0.123846437225418,0.115238113620006
"M0100002107",0.274316087841712,0.298213687200366,0.110527045295299,0,0.15341801106732,0.245575308023715,0.223917416618704,0.158746204388937,0.194541191772313,0.18303640884463,0.168547882035779,0.117510048893217,0.205377631807761,0.217490198032317,0.213066948621554,0.349416541594338,0.405251931211055,0.117938920900933,0.124568978323293,0.138324445010505,0.121480658606274,0.145439321448707,0.13162076034446,0.112731711610527
"M0100002500",0.252282899523862,0.261089364394751,0.102542211072836,0.15341801106732,0,0.228167143925377,0.207342764878464,0.148204607704824,0.181574406188003,0.170851855039955,0.152040926067611,0.102799111473597,0.184115146016983,0.199870838371039,0.193190289586981,0.31387531075979,0.372407668734925,0.111674777373962,0.119289593544851,0.11763411336078,0.114094315079337,0.132145988076512,0.124266067500314,0.106194220967971
"M0100009007",0.42651613718276,0.434036045371495,0.167086295668356,0.245575308023715,0.228167143925377,0,0.3443620167445,0.242897999127762,0.297608719685881,0.275323119987589,0.249469157880649,0.156111219279383,0.279949443285123,0.314320660972395,0.316098926910156,0.510574579314373,0.609722226051709,0.180485153103552,0.195497430406053,0.189123305447809,0.18319154336732,0.215829241968514,0.20626932446066,0.173067610175342
"M0100009160",0.460371351318958,0.506393571773231,0.18389276660165,0.223917416618704,0.207342764878464,0.3443620167445,0,0.234244491464735,0.298264408153378,0.256764107925208,0.238547780123476,0.153396201122297,0.294484529192986,0.310794803415197,0.279453608485932,0.455448909385219,0.552340277946149,0.175537144980832,0.195132401066385,0.188922902983209,0.179903814271914,0.211261309787628,0.216895507604439,0.179718942314734
"M0100009162",0.311284418792354,0.334201733867072,0.122534995669495,0.158746204388937,0.148204607704824,0.242897999127762,0.234244491464735,0,0.203989417007774,0.182034769942696,0.166488317652944,0.112818653661758,0.214380734848785,0.224489697325682,0.199115798312108,0.323985586432497,0.391811126395199,0.125867927247753,0.136169802907091,0.132432275851431,0.128738087430528,0.151189176777746,0.146371249963408,0.126222412827398
"M0100015586",0.422963100391257,0.481148793238389,0.170972681526104,0.194541191772313,0.181574406188003,0.297608719685881,0.298264408153378,0.203989417007774,0,0.232137405529957,0.209022140536702,0.15273934667164,0.291163994938233,0.319606883129623,0.237754094029519,0.387995418473656,0.471533415709298,0.154776440085781,0.174233910417231,0.167809460111401,0.16390009462751,0.197603770270009,0.196182980439504,0.165233084312198
"M0100015620",0.346214191306618,0.384602968313406,0.143861513607132,0.18303640884463,0.170851855039955,0.275323119987589,0.256764107925208,0.182034769942696,0.232137405529957,0,0.185997046805052,0.145933621665723,0.276164918101935,0.309128015748674,0.220094900474797,0.360702978467333,0.433145833859455,0.142649521714236,0.151568072506328,0.155533315699969,0.154116239302033,0.173446284273836,0.16692108741959,0.140942099524861
"M0100015788",0.312420841364606,0.340076083713257,0.123499297013457,0.168547882035779,0.152040926067611,0.249469157880649,0.238547780123476,0.166488317652944,0.209022140536702,0.185997046805052,0,0.114104110769816,0.210833665555267,0.226040448965584,0.208874635790818,0.334363029121505,0.398863327396397,0.125490861619301,0.135287883527352,0.135944524160128,0.130189877938905,0.150595486845176,0.148230758003967,0.123391287747169
"X10372_18",0.330188531723851,0.377372445592291,0.123938335403741,0.117510048893217,0.102799111473597,0.156111219279383,0.153396201122297,0.112818653661758,0.15273934667164,0.145933621665723,0.114104110769816,0,0.278825089691155,0.318121923416606,0.09899259230591,0.170421710341354,0.210793772866715,0.092818452722117,0.104629444084887,0.124445802159501,0.137451185427328,0.133194281230421,0.0984058299547268,0.10297337022238
"X11926_23",0.614865170830953,0.833071839823446,0.281768245474018,0.205377631807761,0.184115146016983,0.279949443285123,0.294484529192986,0.214380734848785,0.291163994938233,0.276164918101935,0.210833665555267,0.278825089691155,0,0.677381304194064,0.158027908363402,0.261799695045961,0.33534853368545,0.190622462556025,0.218817131831557,0.22235082700884,0.276159960901839,0.289696190415701,0.204182428856861,0.220349183872337
"X18408_26",0.661766297908286,0.861990337634723,0.292910052936081,0.217490198032317,0.199870838371039,0.314320660972395,0.310794803415197,0.224489697325682,0.319606883129623,0.309128015748674,0.226040448965584,0.318121923416606,0.677381304194064,0,0.178503887271242,0.294117946109846,0.375861087795838,0.193037242606265,0.24022723409615,0.238489800549069,0.285840510624931,0.297664757999194,0.215533589924864,0.227741353809055
"X3339_33",0.284453857974004,0.250260919241563,0.106638068896093,0.213066948621554,0.193190289586981,0.316098926910156,0.279453608485932,0.199115798312108,0.237754094029519,0.220094900474797,0.208874635790818,0.09899259230591,0.158027908363402,0.178503887271242,0,0.452618456352433,0.55148150824209,0.144938397399024,0.157644810865845,0.148468532664488,0.123979205387714,0.154218839513227,0.168496031624985,0.126808586098475
"X3343_1",0.473541828960943,0.411798424388408,0.175124806704919,0.349416541594338,0.31387531075979,0.510574579314373,0.455448909385219,0.323985586432497,0.387995418473656,0.360702978467333,0.334363029121505,0.170421710341354,0.261799695045961,0.294117946109846,0.452618456352433,0,0.874489239076801,0.231828931498594,0.241718496493885,0.247620472031324,0.209373509660258,0.259117353564148,0.268119737547885,0.207930402435167
"X8325_37",0.570775632271809,0.545452133618569,0.222939045182261,0.405251931211055,0.372407668734925,0.609722226051709,0.552340277946149,0.391811126395199,0.471533415709298,0.433145833859455,0.398863327396397,0.210793772866715,0.33534853368545,0.375861087795838,0.55148150824209,0.874489239076801,0,0.287347653267257,0.299848430716075,0.285843435887491,0.257305330987058,0.308669946190255,0.318818155190559,0.266698071587153
"ENSG00000003756.17",0.22997240289305,0.274098331625584,0.102777939905417,0.117938920900933,0.111674777373962,0.180485153103552,0.175537144980832,0.125867927247753,0.154776440085781,0.142649521714236,0.125490861619301,0.092818452722117,0.190622462556025,0.193037242606265,0.144938397399024,0.231828931498594,0.287347653267257,0,0.104499306805345,0.0989975010558338,0.109445837428468,0.111547747605664,0.104644289837619,0.0937946270127483
"ENSG00000100784.12",0.297083069170944,0.330764720228678,0.120292669785103,0.124568978323293,0.119289593544851,0.195497430406053,0.195132401066385,0.136169802907091,0.174233910417231,0.151568072506328,0.135287883527352,0.104629444084887,0.218817131831557,0.24022723409615,0.157644810865845,0.241718496493885,0.299848430716075,0.104499306805345,0,0.117114418121399,0.109814587660914,0.14034911602506,0.120738882030371,0.109316409027401
"ENSG00000113369.9",0.288466675914184,0.326879898110672,0.113826868701164,0.138324445010505,0.11763411336078,0.189123305447809,0.188922902983209,0.132432275851431,0.167809460111401,0.155533315699969,0.135944524160128,0.124445802159501,0.22235082700884,0.238489800549069,0.148468532664488,0.247620472031324,0.285843435887491,0.0989975010558338,0.117114418121399,0,0.106612522360799,0.131182679892714,0.119413575259908,0.102298358145208
"ENSG00000123106.10",0.308286864567846,0.368613388262929,0.128581659266085,0.121480658606274,0.114094315079337,0.18319154336732,0.179903814271914,0.128738087430528,0.16390009462751,0.154116239302033,0.130189877938905,0.137451185427328,0.276159960901839,0.285840510624931,0.123979205387714,0.209373509660258,0.257305330987058,0.109445837428468,0.109814587660914,0.106612522360799,0,0.14031798433423,0.120793223011329,0.108005160824051
"ENSG00000124831.19",0.345108924288407,0.410653778005994,0.139930002132221,0.145439321448707,0.132145988076512,0.215829241968514,0.211261309787628,0.151189176777746,0.197603770270009,0.173446284273836,0.150595486845176,0.133194281230421,0.289696190415701,0.297664757999194,0.154218839513227,0.259117353564148,0.308669946190255,0.111547747605664,0.14034911602506,0.131182679892714,0.14031798433423,0,0.136789083784242,0.125825866207095
"ENSG00000163393.13",0.327003731579728,0.355698999981321,0.123846437225418,0.13162076034446,0.124266067500314,0.20626932446066,0.216895507604439,0.146371249963408,0.196182980439504,0.16692108741959,0.148230758003967,0.0984058299547268,0.204182428856861,0.215533589924864,0.168496031624985,0.268119737547885,0.318818155190559,0.104644289837619,0.120738882030371,0.119413575259908,0.120793223011329,0.136789083784242,0,0.111238480569296
"ENSG00000166669.13",0.284628049926051,0.349601360967978,0.115238113620006,0.112731711610527,0.106194220967971,0.173067610175342,0.179718942314734,0.126222412827398,0.165233084312198,0.140942099524861,0.123391287747169,0.10297337022238,0.220349183872337,0.227741353809055,0.126808586098475,0.207930402435167,0.266698071587153,0.0937946270127483,0.109316409027401,0.102298358145208,0.108005160824051,0.125825866207095,0.111238480569296,0
