"","M0000001547","M0100000657","M0100001777","X11540_37","X8403_18","ENSG00000079332.15","ENSG00000083937.10","ENSG00000105829.13","ENSG00000107771.17","ENSG00000108799.13","ENSG00000111275.13","ENSG00000117528.14","ENSG00000118579.13","ENSG00000121774.18","ENSG00000129824.16","ENSG00000132323.9","ENSG00000140750.17","ENSG00000145907.16","ENSG00000152443.13","ENSG00000160213.9","ENSG00000174953.14","ENSG00000185946.16","ENSG00000188938.17","ENSG00000204370.13"
"M0000001547",0,0.000549530308020138,0.000588294022133654,0.00117211609531147,0.000965983861877622,0.000533187694831162,0.000492845496920181,0.00120199078528822,3.79248713299495e-05,0.00120027671842254,0.00025666132522033,3.82031366576851e-05,0.000630207836683132,0.000801838345474885,0.000182929817606423,0.000119870906155037,8.99112404062123e-05,0.00126568824367763,0.00120495104868652,0.000492185027967447,0.00150489885763959,0.00166824855138973,0.0010617080172521,0.000619131667134188
"M0100000657",0.000549530308020138,0,0.000474310101115559,0.0011908658929693,0.000801570684499013,0.000654318583275356,0.000799125106919797,0.00111635191420436,5.4421445165538e-05,0.00107603937611489,0.000243896507258261,2.27982989335772e-05,0.000756117372627591,0.000712369398177055,0.000226156631959796,0.000113025233040117,0.00011695934406141,0.00109821226212499,0.000803676009056607,0.000483877785861951,0.00145248653131909,0.00133908001351139,0.000577353543167596,0.000582871810198906
"M0100001777",0.000588294022133654,0.000474310101115559,0,0.00107662818028557,0.00079975228884024,0.000554352105446067,0.000525754998777479,0.00097500206433625,5.52760388470364e-05,0.00103029256902888,0.000242760994687157,3.03468082998608e-05,0.000585852039105339,0.000695046456735197,0.000207255637856063,0.000123262366702352,0.0001117097746958,0.00105938531184172,0.000745564392977956,0.000442758306170854,0.00135159709436882,0.00133432488323469,0.000678941521678682,0.000543903724956716
"X11540_37",0.00117211609531147,0.0011908658929693,0.00107662818028557,0,0.00393019204467454,0.00156809403681387,0.00341339276790257,0.00360879808901872,0.000140853537675049,0.00277643085511392,0.000593771123237834,6.0915418895318e-05,0.00273419525240296,0.00234474155606521,0.000561038946109158,0.000558229735506237,0.000299555358480951,0.00523803978494676,0.00244135113597426,0.00121748978168017,0.00490746653651256,0.00403818733410985,0.00211605939567134,0.00134890630167701
"X8403_18",0.000965983861877622,0.000801570684499013,0.00079975228884024,0.00393019204467454,0,0.00094289335029759,0.0016703839156101,0.00226598294210655,0.000101775613486756,0.00192037212316152,0.000428687178507085,5.41191566387268e-05,0.00149333301873237,0.00142122612650371,0.000365122191808676,0.000345666340622994,0.000203248943185509,0.0029016135305052,0.0016474416400949,0.00085207414705094,0.00287679436646749,0.00267823756960534,0.00157982578707658,0.000933969166436889
"ENSG00000079332.15",0.000533187694831162,0.000654318583275356,0.000554352105446067,0.00156809403681387,0.00094289335029759,0,0.00196051700354244,0.00283335994723662,6.977588050453e-05,0.00305357759603472,0.000296951431154292,8.31802500366109e-06,0.00119535235480144,0.00084479048651558,0.000337300713592192,9.92743343100002e-05,0.000160810781009066,0.00125703700693544,0.00242714989397314,0.000571540495413514,0.00207516144933269,0.00197705227323974,0.000366119169063235,0.000841424192318386
"ENSG00000083937.10",0.000492845496920181,0.000799125106919797,0.000525754998777479,0.00341339276790257,0.0016703839156101,0.00196051700354244,0,0.00386066457578003,6.19799461801802e-05,0.00296300016363568,0.000273879264434042,2.11131089144436e-05,0.00165152117515998,0.00132541348345707,0.000305756334154533,0.000285027006191141,0.00014365533279887,0.00263463181082586,0.00307564469731249,0.000873882601739267,0.00290703450158843,0.00245893273457065,0.00113880172662436,0.000751821487598635
"ENSG00000105829.13",0.00120199078528822,0.00111635191420436,0.00097500206433625,0.00360879808901872,0.00226598294210655,0.00283335994723662,0.00386066457578003,0,0.000109263105407437,0.00451853992311348,0.000493687989097179,5.98651726818682e-05,0.00155267365751744,0.00167881818033356,0.000414709524642645,0.000363986016108543,0.000222316615803913,0.00304444817791816,0.00534697707366398,0.00111703489319712,0.0034276521553313,0.00371598702366036,0.00184717346758871,0.00109312934991148
"ENSG00000107771.17",3.79248713299495e-05,5.4421445165538e-05,5.52760388470364e-05,0.000140853537675049,0.000101775613486756,6.977588050453e-05,6.19799461801802e-05,0.000109263105407437,0,0.000107767060049756,3.52609917749297e-05,3.58552979767206e-06,5.73293731927137e-05,8.15841107571161e-05,3.07744458052311e-05,2.18383219165139e-05,1.99236773738597e-05,0.000111073965404921,4.60370236973003e-05,6.58448513602048e-05,0.000136385003357327,0.000146133713558289,5.34277211543347e-05,7.14311352150919e-05
"ENSG00000108799.13",0.00120027671842254,0.00107603937611489,0.00103029256902888,0.00277643085511392,0.00192037212316152,0.00305357759603472,0.00296300016363568,0.00451853992311348,0.000107767060049756,0,0.000536634349225149,8.84576179620963e-05,0.00180839949458779,0.00153759256344642,0.000584323135283377,0.000232102791685168,0.000264098140010599,0.00265279192673529,0.00447175204019028,0.000745043648781686,0.0039947762782562,0.0036028367788969,0.00133507935108769,0.00110554081591109
